epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,721.931,0.54739,0.73156,0.9626,0.80366,0.6197,0.77508,0.63127,0.98022,1.63883,1.29523,0.000990365,0.000990365,0.000990365
43,738.723,0.58386,0.77626,0.98645,0.6481,0.78533,0.80202,0.63493,1.02178,1.73791,1.42404,0.000973861,0.000973861,0.000973861
44,754.462,0.58366,0.75626,0.9685,0.74571,0.78125,0.84317,0.67313,0.99007,1.54877,1.36948,0.000957358,0.000957358,0.000957358
45,770.42,0.58721,0.80449,0.95638,0.80105,0.78125,0.85689,0.71342,0.9044,1.38146,1.26443,0.000940855,0.000940855,0.000940855
46,786.698,0.54434,0.72071,0.96637,0.85143,0.75,0.85404,0.72215,0.86353,1.39575,1.27047,0.000924352,0.000924352,0.000924352
47,802.388,0.53074,0.71985,0.94403,0.86872,0.80311,0.85782,0.74059,0.84331,1.66036,1.26541,0.000907848,0.000907848,0.000907848
48,818.529,0.50668,0.69887,0.93391,0.91344,0.76577,0.85883,0.75424,0.82859,1.66111,1.25608,0.000891345,0.000891345,0.000891345
49,835.123,0.57422,0.72113,0.97545,0.89773,0.78125,0.86594,0.75059,0.81575,1.50891,1.22839,0.000874842,0.000874842,0.000874842
50,851.699,0.53736,0.68338,0.9935,0.96417,0.77027,0.88453,0.74913,0.82401,1.48114,1.20299,0.000858338,0.000858338,0.000858338
51,867.967,0.50582,0.63976,0.92554,0.80295,0.83738,0.86626,0.71944,0.88322,1.3574,1.25404,0.000841835,0.000841835,0.000841835
52,884.36,0.50931,0.68034,0.94335,0.83275,0.78992,0.88855,0.74887,0.87525,1.34967,1.25135,0.000825332,0.000825332,0.000825332
53,900.675,0.52127,0.71927,0.94591,0.8479,0.80265,0.8533,0.69687,0.89994,1.53042,1.25462,0.000808828,0.000808828,0.000808828
54,918.235,0.49475,0.64897,0.93867,0.78316,0.78125,0.81256,0.66633,0.91531,1.62412,1.27899,0.000792325,0.000792325,0.000792325
55,933.933,0.52317,0.66783,0.94494,0.83201,0.74941,0.80501,0.67067,0.90362,1.51632,1.28905,0.000775822,0.000775822,0.000775822
56,950.712,0.46898,0.61764,0.90239,0.84124,0.77631,0.83702,0.70032,0.9174,1.42622,1.28947,0.000759318,0.000759318,0.000759318
57,966.498,0.54489,0.73845,0.96108,0.81539,0.8125,0.84246,0.6954,0.91667,1.38955,1.28646,0.000742815,0.000742815,0.000742815
58,982.106,0.4822,0.65977,0.93423,0.82143,0.8125,0.86022,0.69247,0.9167,1.4333,1.31556,0.000726312,0.000726312,0.000726312
59,997.79,0.5067,0.61781,0.96459,0.67085,0.86559,0.86831,0.69251,0.91906,1.44491,1.35706,0.000709809,0.000709809,0.000709809
60,1013.93,0.48824,0.65731,0.9396,0.7713,0.73301,0.83448,0.67551,0.95283,1.62516,1.38553,0.000693305,0.000693305,0.000693305
61,1029.86,0.53953,0.68964,0.96576,0.70233,0.73872,0.80315,0.65157,0.94741,1.76036,1.39349,0.000676802,0.000676802,0.000676802
62,1045.79,0.49372,0.67046,0.95414,0.72903,0.79965,0.80914,0.65598,0.84863,1.66484,1.28756,0.000660299,0.000660299,0.000660299
63,1061.34,0.48741,0.62531,0.94932,0.76697,0.7389,0.8418,0.70594,0.80083,1.38506,1.25425,0.000643795,0.000643795,0.000643795
64,1077.41,0.48978,0.60679,0.91582,0.79207,0.75,0.83673,0.72953,0.81336,1.33526,1.2495,0.000627292,0.000627292,0.000627292
65,1092.89,0.48874,0.62711,0.95215,0.8879,0.75,0.84078,0.72464,0.79547,1.3685,1.25155,0.000610789,0.000610789,0.000610789
66,1109.65,0.48831,0.63845,0.94153,0.88416,0.75,0.83171,0.71459,0.83639,1.41827,1.26496,0.000594286,0.000594286,0.000594286
67,1127.01,0.46867,0.60774,0.94247,0.88466,0.78125,0.83057,0.6848,0.89634,1.51508,1.35005,0.000577782,0.000577782,0.000577782
68,1145.65,0.47099,0.60076,0.90591,0.89311,0.78125,0.81384,0.66858,0.90309,1.49909,1.34917,0.000561279,0.000561279,0.000561279
69,1164.53,0.51509,0.65621,0.94499,0.90979,0.77693,0.82687,0.68192,0.90986,1.46196,1.35112,0.000544776,0.000544776,0.000544776
70,1182.22,0.49248,0.59319,0.95111,0.93951,0.78125,0.83359,0.70414,0.89697,1.42188,1.34767,0.000528272,0.000528272,0.000528272
